Month,Station1,Station2,Station3,Station4,Station5,Station6,Station7,Station8,Station9
1,0.03213878570325237,0.10836288723708581,0.0070488259370018996,1.5714574011291493,2.1053283905968754,0.5025043934804894,2.2504185550950786,0.394801682211783,0.553859422555916
2,0.03543498112723158,0.11676322790054294,0.0065426333061216,1.9569564256262704,2.4248982637249563,0.7858296480200977,2.1367422610761255,0.37137226476716784,0.48288835417477677
3,0.0265879158273252,0.08973441984664403,0.00663224915691945,2.6107556485918884,2.995961620327464,1.319323431529048,2.055161996481139,0.34628255935774926,0.5871620565397387
4,0.03078246615939582,0.1604790165818595,0.004875677871256769,2.858354123647954,3.241952064751803,1.702236271938773,1.44050500451042,0.22458217604514308,0.42542925951302923
5,0.03287224382121111,0.21919785685271703,0.0023372081583796197,3.2516523074122006,3.5298101323906375,1.8863563675189163,0.9659935026243934,0.18678240242947936,0.4355510335729562
6,0.04656421338255201,0.4265930351273675,0.00134820240445899,3.4488261579923574,3.540579548518744,1.1633483958213457,0.6218919305164187,0.14344084465083964,0.3060412727086724
7,0.0599208347043309,0.3915431336846217,0.00037337471825013,3.082039167468818,3.5532880453377382,0.7118661777998186,0.3607789268615765,0.08511061486992356,0.1749361397727591
8,0.10101888517995897,0.711096495276974,0.00050979256104243,2.7826641227144058,3.0667024806764798,0.5489082580775099,0.5521645280747424,0.10335388368860778,0.19283773084765288
9,0.15919747420963715,1.0704741375373754,0.00152371630349646,2.3172482660909894,2.6085555428532703,0.4190268585959099,1.1548683706777205,0.20805061141830722,0.3964703708926064
10,0.12635733632492518,0.8642299542671594,0.00240451153479333,2.4113318475293966,1.8352829553527692,0.35020580666169987,1.5559697402317978,0.2630649922576487,0.492590132209566
11,0.06694691948241689,0.38474128996494983,0.0041557044244101594,2.6124501536409857,1.824839903801052,0.4131483315717742,1.5543345605478336,0.24535865275407623,0.4298143900889937
12,0.03127920958303413,0.1765269930551995,0.00494661734450277,1.640701018123226,1.9767094074405978,0.6223894863590991,1.8354086035625543,0.2728473592414135,0.42954760191090585
